timestep,episodic_return
1000,0.0
2001,0.0
3002,0.0
4003,4.0
5004,0.0
6005,0.0
7006,0.0
8007,10.0
9008,0.0
10009,0.0
11010,0.0
12011,0.0
13012,0.0
14013,0.0
15014,0.0
16015,0.0
17016,0.0
18017,0.0
19018,0.0
20019,0.0
21020,0.0
22021,0.0
23022,0.0
24023,0.0
25024,0.0
26025,0.0
27026,0.0
28027,0.0
29028,0.0
30029,0.0
31030,0.0
32031,0.0
33032,0.0
34033,0.0
35034,0.0
36035,0.0
37036,0.0
38037,0.0
39038,0.0
40039,0.0
41040,0.0
42041,0.0
43042,0.0
44043,0.0
45044,0.0
46045,0.0
47046,0.0
48047,0.0
49048,7.0
50049,0.0
51050,0.0
52051,0.0
53052,0.0
54053,0.0
55054,0.0
56055,0.0
57056,0.0
58057,0.0
59058,0.0
60059,0.0
61060,0.0
62061,0.0
63062,0.0
64063,0.0
65064,0.0
66065,0.0
67066,0.0
68067,0.0
69068,0.0
70069,0.0
71070,0.0
72071,0.0
73072,0.0
74073,0.0
75074,0.0
76075,0.0
77076,0.0
78077,0.0
79078,0.0
80079,1.0
81080,0.0
82081,0.0
83082,0.0
84083,0.0
85084,0.0
86085,0.0
87086,0.0
88087,0.0
89088,0.0
90089,0.0
91090,0.0
92091,0.0
93092,0.0
94093,0.0
95094,0.0
96095,1.0
97096,0.0
98097,0.0
99098,0.0
100099,0.0
101100,0.0
102101,0.0
103102,34.0
104103,0.0
105104,0.0
106105,6.0
107106,0.0
108107,0.0
109108,0.0
110109,0.0
111110,0.0
112111,0.0
113112,0.0
114113,0.0
115114,0.0
116115,0.0
117116,0.0
118117,0.0
119118,0.0
120119,0.0
121120,0.0
122121,0.0
123122,0.0
124123,0.0
125124,0.0
126125,0.0
127126,0.0
128127,0.0
129128,0.0
130129,19.0
131130,0.0
132131,0.0
133132,0.0
134133,0.0
135134,0.0
136135,0.0
137136,0.0
138137,0.0
139138,0.0
140139,0.0
141140,0.0
142141,0.0
143142,0.0
144143,100.0
145144,0.0
146145,0.0
147146,0.0
148147,0.0
149148,0.0
150149,0.0
151150,0.0
152151,0.0
153152,0.0
154153,0.0
155154,0.0
156155,0.0
157156,0.0
158157,0.0
159158,0.0
160159,0.0
161160,0.0
162161,0.0
163162,19.0
164163,0.0
165164,0.0
166165,85.0
167166,0.0
168167,0.0
169168,0.0
170169,0.0
171170,0.0
172171,0.0
173172,0.0
174173,0.0
175174,0.0
176175,0.0
177176,0.0
178177,0.0
179178,43.0
180179,0.0
181180,71.0
182181,0.0
183182,53.0
184183,0.0
185184,0.0
186185,68.0
187186,0.0
188187,0.0
189188,24.0
190189,29.0
191190,55.0
192191,0.0
193192,0.0
194193,41.0
195194,0.0
196195,0.0
197196,54.0
198197,62.0
199198,90.0
200199,29.0
201200,0.0
202201,46.0
203202,0.0
204203,36.0
205204,0.0
206205,35.0
207206,30.0
208207,64.0
209208,0.0
210209,64.0
211210,27.0
212211,0.0
213212,0.0
214213,42.0
215214,0.0
216215,68.0
217216,61.0
218217,33.0
219218,39.0
220219,0.0
221220,62.0
222221,39.0
223222,59.0
224223,0.0
225224,18.0
226225,0.0
227226,58.0
228227,57.0
229228,28.0
230229,67.0
231230,21.0
232231,0.0
233232,59.0
234233,0.0
235234,23.0
236235,0.0
237236,63.0
238237,0.0
239238,15.0
240239,27.0
241240,0.0
242241,0.0
243242,0.0
244243,42.0
245244,60.0
246245,0.0
247246,56.0
248247,67.0
249248,16.0
250249,34.0
251250,56.0
252251,73.0
253252,56.0
254253,90.0
255254,48.0
256255,39.0
257256,45.0
258257,56.0
259258,15.0
260259,51.0
261260,0.0
262261,74.0
263262,20.0
264263,44.0
265264,26.0
266265,64.0
267266,48.0
268267,61.0
269268,0.0
270269,49.0
271270,45.0
272271,32.0
273272,30.0
274273,42.0
275274,59.0
276275,89.0
277276,17.0
278277,53.0
279278,34.0
280279,43.0
281280,0.0
282281,46.0
283282,57.0
284283,38.0
285284,0.0
286285,42.0
287286,24.0
288287,61.0
289288,62.0
290289,0.0
291290,59.0
292291,55.0
293292,33.0
294293,59.0
295294,41.0
296295,55.0
297296,20.0
298297,44.0
299298,37.0
300299,56.0
301300,29.0
302301,49.0
303302,52.0
304303,26.0
305304,66.0
306305,54.0
307306,41.0
308307,47.0
309308,25.0
310309,66.0
311310,56.0
312311,56.0
313312,28.0
314313,49.0
315314,22.0
316315,108.0
317316,34.0
318317,10.0
319318,69.0
320319,74.0
321320,78.0
322321,47.0
323322,50.0
324323,44.0
325324,52.0
326325,15.0
327326,37.0
328327,43.0
329328,46.0
330329,52.0
331330,43.0
332331,22.0
333332,48.0
334333,49.0
335334,50.0
336335,49.0
337336,31.0
338337,60.0
339338,60.0
340339,26.0
341340,34.0
342341,55.0
343342,77.0
344343,63.0
345344,43.0
346345,55.0
347346,33.0
348347,57.0
349348,57.0
350349,54.0
351350,63.0
352351,61.0
353352,32.0
354353,56.0
355354,31.0
356355,61.0
357356,46.0
358357,38.0
359358,29.0
360359,48.0
361360,1.0
362361,50.0
363362,59.0
364363,24.0
365364,39.0
366365,14.0
367366,0.0
368367,52.0
369368,52.0
370369,57.0
371370,38.0
372371,61.0
373372,7.0
374373,57.0
375374,55.0
376375,53.0
377376,42.0
378377,52.0
379378,24.0
380379,51.0
381380,64.0
382381,21.0
383382,57.0
384383,29.0
385384,49.0
386385,42.0
387386,39.0
388387,48.0
389388,57.0
390389,52.0
391390,42.0
392391,37.0
393392,42.0
394393,46.0
395394,62.0
396395,50.0
397396,54.0
398397,23.0
399398,44.0
400399,59.0
401400,52.0
402401,62.0
403402,59.0
404403,37.0
405404,60.0
406405,52.0
407406,54.0
408407,34.0
409408,53.0
410409,32.0
411410,39.0
412411,16.0
413412,48.0
414413,82.0
415414,37.0
416415,25.0
417416,61.0
418417,59.0
419418,59.0
420419,76.0
421420,87.0
422421,39.0
423422,50.0
424423,69.0
425424,45.0
426425,47.0
427426,59.0
428427,53.0
429428,0.0
430429,46.0
431430,54.0
432431,52.0
433432,61.0
434433,24.0
435434,39.0
436435,50.0
437436,38.0
438437,40.0
439438,34.0
440439,90.0
441440,33.0
442441,58.0
443442,0.0
444443,41.0
445444,55.0
446445,37.0
447446,45.0
448447,0.0
449448,56.0
450449,66.0
451450,28.0
452451,59.0
453452,35.0
454453,51.0
455454,64.0
456455,62.0
457456,61.0
458457,59.0
459458,0.0
460459,57.0
461460,38.0
462461,26.0
463462,42.0
464463,42.0
465464,20.0
466465,25.0
467466,8.0
468467,49.0
469468,92.0
470469,62.0
471470,47.0
472471,32.0
473472,59.0
474473,70.0
475474,44.0
476475,45.0
477476,51.0
478477,47.0
479478,0.0
480479,50.0
481480,58.0
482481,56.0
483482,52.0
484483,47.0
485484,34.0
486485,54.0
487486,73.0
488487,37.0
489488,21.0
490489,77.0
491490,64.0
492491,33.0
493492,67.0
494493,49.0
495494,60.0
496495,56.0
497496,60.0
498497,62.0
499498,37.0
500499,52.0
501500,44.0
502501,26.0
503502,5.0
504503,63.0
505504,50.0
506505,15.0
507506,0.0
508507,0.0
509508,0.0
510509,26.0
511510,32.0
512511,5.0
513512,60.0
514513,0.0
515514,58.0
516515,59.0
517516,60.0
518517,62.0
519518,42.0
520519,59.0
521520,33.0
522521,58.0
523522,37.0
524523,53.0
525524,14.0
526525,19.0
527526,63.0
528527,55.0
529528,66.0
530529,42.0
531530,64.0
532531,54.0
533532,46.0
534533,53.0
535534,42.0
536535,45.0
537536,62.0
538537,43.0
539538,32.0
540539,68.0
541540,73.0
542541,52.0
543542,52.0
544543,73.0
545544,44.0
546545,38.0
547546,44.0
548547,16.0
549548,66.0
550549,92.0
551550,48.0
552551,63.0
553552,92.0
554553,58.0
555554,48.0
556555,70.0
557556,69.0
558557,37.0
559558,44.0
560559,61.0
561560,93.0
562561,39.0
563562,44.0
564563,71.0
565564,59.0
566565,59.0
567566,91.0
568567,86.0
569568,65.0
570569,79.0
571570,64.0
572571,102.0
573572,84.0
574573,66.0
575574,72.0
576575,102.0
577576,61.0
578577,43.0
579578,94.0
580579,28.0
581580,50.0
582581,37.0
583582,48.0
584583,82.0
585584,46.0
586585,0.0
587586,80.0
588587,46.0
589588,85.0
590589,71.0
591590,48.0
592591,10.0
593592,87.0
594593,94.0
595594,53.0
596595,104.0
597596,81.0
598597,76.0
599598,56.0
600599,11.0
601600,130.0
602601,53.0
603602,64.0
604603,51.0
605604,91.0
606605,79.0
607606,63.0
608607,51.0
609608,62.0
610609,69.0
611610,0.0
612611,146.0
613612,0.0
614613,72.0
615614,16.0
616615,131.0
617616,46.0
618617,36.0
619618,45.0
620619,67.0
621620,117.0
622621,45.0
623622,74.0
624623,104.0
625624,49.0
626625,52.0
627626,76.0
628627,53.0
629628,32.0
630629,69.0
631630,49.0
632631,96.0
633632,59.0
634633,78.0
635634,101.0
636635,40.0
637636,41.0
638637,70.0
639638,73.0
640639,65.0
641640,84.0
642641,40.0
643642,31.0
644643,95.0
645644,121.0
646645,113.0
647646,78.0
648647,125.0
649648,118.0
650649,60.0
651650,180.0
652651,164.0
653652,106.0
654653,87.0
655654,95.0
656655,119.0
657656,228.0
658657,168.0
659658,134.0
660659,51.0
661660,167.0
662661,40.0
663662,226.0
664663,186.0
665664,135.0
666665,284.0
667666,93.0
668667,106.0
669668,224.0
670669,127.0
671670,242.0
672671,135.0
673672,343.0
